CITY_NAME:lat=LATITUDE,lon=LONGITUDE
Bamako:lat=12.65295029,lon=-7.986481667
Managua:lat=12.15147305,lon=-86.27303314
Phnom Penh:lat=11.56473637,lon=104.9131927
Ho Chi Minh City:lat=10.75918198,lon=106.6624527
Maracaibo:lat=10.64504337,lon=-71.637146
Caracas:lat=10.49604893,lon=-66.89828491
Barquisimeto:lat=10.06566525,lon=-69.33919525
San Jose:lat=9.930476189,lon=-84.07861328
Madurai:lat=9.913986206,lon=78.12172699
Ibadan:lat=7.378840446,lon=3.895278454
Davao:lat=7.080080032,lon=125.613678
Enugu:lat=6.450538635,lon=7.492080212
Medellin:lat=6.241146564,lon=-75.59203339
Accra:lat=5.558562756,lon=-0.200923637
Abidjan:lat=5.324857235,lon=-4.021886826
Bogota:lat=4.630219936,lon=-74.080513
Bangui:lat=4.365856171,lon=18.56234169
Yaounde:lat=3.865123034,lon=11.51364136
Medan:lat=3.585242033,lon=98.67559814
Cali:lat=3.456855297,lon=-76.52243805
Kuala Lumpur:lat=3.150210381,lon=101.7076721
Muqdisho:lat=2.041177511,lon=45.34414291
Kisangani:lat=0.519284904,lon=25.19614792
Quito:lat=-0.229498133,lon=-78.52428436
Iquitos:lat=-3.752895355,lon=-73.19149017
Fortaleza:lat=-3.783321857,lon=-38.58890152
Brazzaville:lat=-4.285186768,lon=15.28514862
Kananga:lat=-5.89221096,lon=22.40277863
Dar es Salaam:lat=-6.817358971,lon=39.2533493
Bandung:lat=-6.912430286,lon=107.6069031
Recife:lat=-8.085167885,lon=-34.91463852
Benguela:lat=-12.71773529,lon=13.46487999
Brasilia:lat=-15.79210949,lon=-47.89774704
Arequipa:lat=-16.39753914,lon=-71.52274323
La Paz:lat=-16.49900627,lon=-68.14624786
Goiania:lat=-16.72669983,lon=-49.25481033
Santa Cruz de La Sierra:lat=-17.78879166,lon=-63.19741821
Sucre:lat=-19.04213524,lon=-65.25588226
Belo Horizonte:lat=-19.85172081,lon=-43.90906906
Rio de Janeiro:lat=-22.72157288,lon=-43.45517731
Sao Paulo:lat=-23.58130455,lon=-46.6228981
Santos:lat=-23.95470047,lon=-46.30949402
Gaborone:lat=-24.6614418,lon=25.79480171
Curitiba:lat=-25.43047905,lon=-49.28450775
Pretoria:lat=-25.73134613,lon=28.21837234
